0	[((86456962, 86441749, 0), 0), ((86441749, 86456921, 0), 9), ((86456921, 86420803, 0), 13), ((86420803, 86518909, 0), 21), ((86518909, 86417963, 0), 38), ((86417963, 5382279682, 0), 44), ((5382279682, 86518871, 0), 46), ((86518871, 5382279678, 0), 65), ((5382279678, 86499546, 0), 78), ((86499546, 86417805, 0), 103), ((86417805, 86499543, 0), 110), ((86499543, 86480450, 0), 114), ((86480450, 86499536, 0), 118), ((86499536, 86499659, 0), 129), ((86499659, 86509465, 0), 133), ((86509465, 86519748, 0), 137), ((86519748, 5382279690, 0), 146), ((5382279690, 86431730, 0), 150), ((86431730, 86431719, 0), 164), ((86431719, 86431708, 0), 176), ((86431708, 86416948, 0), 181), ((86416948, 3604344025, 0), 208), ((3604344025, 86431672, 0), 218), ((86431672, 86431629, 0), 221), ((86431629, 86431620, 0), 240), ((86431620, 86431619, 0), 246), ((86431619, 86431607, 0), 248), ((86431607, 86382046, 0), 255), ((86382046, 5393400967, 0), 260), ((5393400967, 5393400955, 0), 283), ((5393400955, 86431098, 0), 294), ((86431098, 86416934, 0), 297), ('GOAL', 86416934, 297)]
1	[((86476447, 86476449, 0), 0), ((86476449, 86476447, 0), 4), ((86476447, 86466239, 0), 11), ((86466239, 86593323, 0), 17), ((86593323, 86421537, 0), 18), ((86421537, 86492287, 0), 22), ((86492287, 86471937, 0), 27), ((86471937, 86595713, 0), 39), ((86595713, 86593845, 0), 42), ((86593845, 86495630, 0), 43), ((86495630, 86606520, 0), 51), ((86606520, 86585553, 0), 61), ((86585553, 86435629, 0), 65), ((86435629, 86416075, 0), 68), ((86416075, 86479779, 0), 73), ((86479779, 86430226, 0), 75), ((86430226, 86430211, 0), 79), ((86430211, 86430197, 0), 106), ((86430197, 86430193, 0), 126), ((86430193, 86407506, 0), 137), ((86407506, 86387445, 0), 142), ((86387445, 5375953884, 0), 145), ((5375953884, 86430159, 0), 154), ((86430159, 1559299643, 0), 173), ((1559299643, 86430101, 0), 175), ((86430101, 5375953895, 0), 206), ((5375953895, 86430097, 0), 210), ((86430097, 86430089, 0), 215), ((86430089, 5375953903, 0), 227), ((5375953903, 86430069, 0), 237), ((86430069, 86430030, 0), 244), ('GOAL', 86430030, 244)]
2	[((86372732, 86464641, 0), 0), ((86464641, 86445431, 0), 1), ((86445431, 86478774, 0), 4), ((86478774, 86430395, 0), 6), ((86430395, 86376907, 0), 11), ((86376907, 86430418, 0), 14), ((86430418, 86376920, 0), 20), ((86376920, 86430424, 0), 21), ((86430424, 86554346, 0), 26), ((86554346, 86594931, 0), 34), ((86594931, 86538570, 0), 49), ((86538570, 86379067, 0), 57), ((86379067, 86379042, 0), 87), ((86379042, 86432105, 0), 89), ((86432105, 86406781, 0), 91), ((86406781, 86430492, 0), 127), ((86430492, 86432131, 0), 131), ((86432131, 86431158, 0), 133), ((86431158, 86413439, 0), 166), ((86413439, 86375113, 0), 174), ('GOAL', 86375113, 174)]
3	[((86503658, 86503644, 0), 0), ((86503644, 86441465, 0), 2), ((86441465, 86509371, 0), 7), ((86509371, 86509375, 0), 15), ((86509375, 86499341, 0), 17), ((86499341, 86430211, 0), 27), ((86430211, 86430197, 0), 34), ((86430197, 86430193, 0), 55), ((86430193, 86407506, 0), 66), ((86407506, 86387445, 0), 70), ((86387445, 5375953884, 0), 72), ((5375953884, 86430159, 0), 80), ((86430159, 1559299643, 0), 99), ((1559299643, 86430101, 0), 101), ((86430101, 5375953895, 0), 133), ((5375953895, 86430097, 0), 137), ((86430097, 86430089, 0), 141), ((86430089, 5375953903, 0), 153), ((5375953903, 86430069, 0), 164), ((86430069, 86430030, 0), 171), ('GOAL', 86430030, 171)]
4	[((86426433, 86426328, 0), 0), ((86426328, 86426433, 0), 5), ((86426433, 86430487, 0), 38), ((86430487, 86406796, 0), 44), ((86406796, 86430492, 0), 49), ((86430492, 86432131, 0), 53), ((86432131, 86431158, 0), 55), ((86431158, 86413439, 0), 88), ((86413439, 86375113, 0), 96), ('GOAL', 86375113, 96)]
5	[((86534143, 86534141, 0), 0), ((86534141, 86534143, 0), 5), ((86534143, 86476447, 0), 9), ((86476447, 86466239, 0), 10), ((86466239, 86593323, 0), 15), ((86593323, 86421537, 0), 16), ((86421537, 86492287, 0), 20), ((86492287, 86471937, 0), 25), ((86471937, 86595713, 0), 37), ((86595713, 86593845, 0), 39), ((86593845, 86495630, 0), 41), ((86495630, 86606520, 0), 48), ((86606520, 86585553, 0), 59), ((86585553, 86435629, 0), 62), ((86435629, 86416075, 0), 66), ((86416075, 86479779, 0), 71), ((86479779, 86430226, 0), 73), ((86430226, 86430211, 0), 77), ((86430211, 86430197, 0), 102), ((86430197, 86430193, 0), 123), ((86430193, 86407506, 0), 134), ((86407506, 86387445, 0), 138), ((86387445, 5375953884, 0), 142), ((5375953884, 86430159, 0), 150), ((86430159, 1559299643, 0), 169), ((1559299643, 86430101, 0), 171), ((86430101, 5375953895, 0), 203), ((5375953895, 86430097, 0), 207), ((86430097, 86430089, 0), 211), ((86430089, 5375953903, 0), 224), ((5375953903, 86430069, 0), 234), ((86430069, 86430030, 0), 241), ('GOAL', 86430030, 241)]
6	[((86475247, 86534235, 0), 0), ((86534235, 86553603, 0), 18), ((86553603, 86484686, 0), 38), ((86484686, 86484674, 0), 46), ((86484674, 86484660, 0), 49), ((86484660, 86417903, 0), 52), ((86417903, 86542114, 0), 57), ((86542114, 86456928, 0), 63), ((86456928, 86441722, 0), 75), ((86441722, 86441739, 0), 82), ((86441739, 86441749, 0), 93), ((86441749, 86456921, 0), 97), ((86456921, 86420803, 0), 101), ((86420803, 86518909, 0), 109), ((86518909, 86417963, 0), 127), ((86417963, 5382279682, 0), 132), ((5382279682, 86518871, 0), 135), ((86518871, 5382279678, 0), 151), ((5382279678, 86499546, 0), 164), ((86499546, 86417805, 0), 189), ((86417805, 86499543, 0), 196), ((86499543, 86480450, 0), 200), ((86480450, 86499536, 0), 204), ((86499536, 86499659, 0), 215), ((86499659, 86509465, 0), 219), ((86509465, 86519748, 0), 223), ((86519748, 5382279690, 0), 232), ((5382279690, 86431730, 0), 236), ((86431730, 86431719, 0), 250), ((86431719, 86431708, 0), 262), ((86431708, 86416948, 0), 267), ((86416948, 3604344025, 0), 294), ((3604344025, 86431672, 0), 304), ((86431672, 86431629, 0), 307), ((86431629, 86431620, 0), 326), ((86431620, 86431619, 0), 332), ((86431619, 86431607, 0), 334), ((86431607, 86382046, 0), 341), ((86382046, 5393400967, 0), 346), ((5393400967, 5393400955, 0), 369), ((5393400955, 86431098, 0), 380), ((86431098, 86416934, 0), 383), ('GOAL', 86416934, 383)]
7	[((86497046, 86586556, 0), 0), ((86586556, 86497046, 0), 2), ((86497046, 86509600, 0), 11), ((86509600, 86509605, 0), 20), ((86509605, 86509607, 0), 32), ((86509607, 86509625, 0), 38), ((86509625, 86569027, 0), 48), ((86569027, 86455619, 0), 56), ((86455619, 86454577, 0), 59), ((86454577, 86586142, 0), 88), ((86586142, 86498532, 0), 92), ((86498532, 86509357, 0), 98), ((86509357, 86506464, 0), 113), ((86506464, 86503644, 0), 121), ((86503644, 86441465, 0), 122), ((86441465, 86509371, 0), 126), ((86509371, 86509375, 0), 134), ((86509375, 86499341, 0), 136), ((86499341, 86430211, 0), 146), ((86430211, 86430197, 0), 153), ((86430197, 86430193, 0), 179), ((86430193, 86407506, 0), 190), ((86407506, 86387445, 0), 195), ((86387445, 5375953884, 0), 198), ((5375953884, 86430159, 0), 207), ((86430159, 1559299643, 0), 226), ((1559299643, 86430101, 0), 228), ((86430101, 5375953895, 0), 259), ((5375953895, 86430097, 0), 263), ((86430097, 86430089, 0), 267), ((86430089, 5375953903, 0), 280), ((5375953903, 86430069, 0), 290), ((86430069, 86430030, 0), 297), ('GOAL', 86430030, 297)]
8	[((5659704578, 5659704572, 0), 0), ((5659704572, 5659704571, 0), 1), ((5659704571, 5659704558, 0), 3), ((5659704558, 86431919, 0), 6), ((86431919, 86431929, 0), 16), ((86431929, 5618884992, 0), 25), ((5618884992, 86431937, 0), 28), ((86431937, 86431956, 0), 30), ((86431956, 86431970, 0), 59), ((86431970, 86431978, 0), 79), ((86431978, 86431980, 0), 95), ((86431980, 86431990, 0), 97), ((86431990, 86431997, 0), 109), ((86431997, 5406929331, 0), 120), ((5406929331, 86432015, 0), 129), ((86432015, 86432019, 0), 135), ((86432019, 86432023, 0), 136), ((86432023, 86432036, 0), 140), ((86432036, 86432045, 0), 148), ((86432045, 86432074, 0), 158), ((86432074, 86432084, 0), 187), ((86432084, 86432101, 0), 198), ((86432101, 86432105, 0), 211), ((86432105, 86406781, 0), 226), ((86406781, 86430492, 0), 310), ((86430492, 86432131, 0), 314), ((86432131, 86431158, 0), 316), ((86431158, 86413439, 0), 349), ((86413439, 86375113, 0), 357), ('GOAL', 86375113, 357)]
9	[((86426061, 86459243, 0), 0), ((86459243, 86426061, 0), 3), ((86426061, 86434950, 0), 6), ((86434950, 86434958, 0), 14), ((86434958, 86428266, 0), 24), ((86428266, 86432015, 0), 32), ((86432015, 86432019, 0), 34), ((86432019, 86432023, 0), 35), ((86432023, 86432036, 0), 39), ((86432036, 86432045, 0), 47), ((86432045, 86432074, 0), 57), ((86432074, 86432084, 0), 86), ((86432084, 86432101, 0), 97), ((86432101, 86432105, 0), 109), ((86432105, 86406781, 0), 111), ((86406781, 86430492, 0), 147), ((86430492, 86432131, 0), 150), ((86432131, 86431158, 0), 153), ((86431158, 86413439, 0), 186), ((86413439, 86375113, 0), 194), ('GOAL', 86375113, 194)]
